origin,destination,4_7,7_10,10_13,13_16,16_19,19_22,origin_id,destination_id
2200_transmilenio-troncal,7503_transmilenio-troncal,44.2,43.36666666666667,43.36666666666667,43.36666666666667,42.28333333333333,43.766666666666666,2200,7503
2200_transmilenio-troncal,7504_transmilenio-troncal,42.2,41.36666666666667,41.36666666666667,41.36666666666667,40.28333333333333,41.766666666666666,2200,7504
2200_transmilenio-troncal,10009_transmilenio-troncal,41.21666666666667,40.18333333333333,40.4,40.4,39.78333333333333,40.43333333333334,2200,10009
2200_transmilenio-troncal,7010_transmilenio-troncal,38.78333333333333,36.233333333333334,38.233333333333334,38.233333333333334,37.25,37.7,2200,7010
2200_transmilenio-troncal,7201_transmilenio-troncal,21.75,19.85,19.85,19.85,19.833333333333332,19.883333333333333,2200,7201
2200_transmilenio-troncal,7200_transmilenio-troncal,21.75,19.85,19.85,25.183333333333334,25.166666666666664,25.21666666666667,2200,7200
2001_transmilenio-troncal,2200_transmilenio-troncal,4.25,4.25,4.25,4.25,4.25,4.25,2001,2200
2001_transmilenio-troncal,2303_transmilenio-troncal,13.333333333333332,12.149999999999999,12.149999999999999,12.149999999999999,12.099999999999998,12.149999999999999,2001,2303
2001_transmilenio-troncal,2300_transmilenio-troncal,11.25,8.683333333333334,8.683333333333334,8.683333333333334,8.633333333333333,8.683333333333334,2001,2300
2001_transmilenio-troncal,2205_transmilenio-troncal,10.983333333333333,10.766666666666667,10.766666666666667,10.766666666666667,10.716666666666667,10.766666666666667,2001,2205
2001_transmilenio-troncal,2202_transmilenio-troncal,7.25,7.25,7.25,7.25,7.25,7.25,2001,2202
2001_transmilenio-troncal,2105_transmilenio-troncal,5.666666666666667,5.716666666666667,5.75,5.75,5.45,5.45,2001,2105
2001_transmilenio-troncal,2104_transmilenio-troncal,4.533333333333333,4.533333333333333,4.533333333333333,4.533333333333333,4.533333333333333,4.533333333333333,2001,2104
2001_transmilenio-troncal,2102_transmilenio-troncal,4.8,4.816666666666666,4.683333333333334,4.683333333333334,4.683333333333334,4.683333333333334,2001,2102
2001_transmilenio-troncal,2304_transmilenio-troncal,14.0,12.1,12.1,12.1,12.083333333333332,12.133333333333333,2001,2304
2001_transmilenio-troncal,2103_transmilenio-troncal,5.616666666666666,5.616666666666666,5.616666666666666,5.616666666666666,5.616666666666666,5.616666666666666,2001,2103
